"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 02:04:41 GMT 2022","Wed Aug 10 02:04:42 GMT 2022","903","tests.ui.auth","test_login","TestLogin","","","test_login_failed[chrome]",""
"passed","Wed Aug 10 02:07:11 GMT 2022","Wed Aug 10 02:07:20 GMT 2022","9072","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-IP country]",""
"passed","Wed Aug 10 02:05:42 GMT 2022","Wed Aug 10 02:05:44 GMT 2022","2316","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-CC Last Digits]",""
"broken","Wed Aug 10 02:07:48 GMT 2022","Wed Aug 10 02:07:57 GMT 2022","8356","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-Billing amt]",""
"passed","Wed Aug 10 02:10:10 GMT 2022","Wed Aug 10 02:10:18 GMT 2022","8066","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-Device Location Latitude]",""
"passed","Wed Aug 10 02:05:44 GMT 2022","Wed Aug 10 02:05:47 GMT 2022","2383","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-BIN country]",""
"passed","Wed Aug 10 02:08:36 GMT 2022","Wed Aug 10 02:08:36 GMT 2022","0","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_score[chrome]",""
"passed","Wed Aug 10 02:06:02 GMT 2022","Wed Aug 10 02:06:05 GMT 2022","2721","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Billing currency]",""
"passed","Wed Aug 10 02:06:00 GMT 2022","Wed Aug 10 02:06:02 GMT 2022","2657","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Billing amt]",""
"broken","Wed Aug 10 02:10:03 GMT 2022","Wed Aug 10 02:10:10 GMT 2022","7136","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-Billing amt]",""
"broken","Wed Aug 10 02:08:43 GMT 2022","Wed Aug 10 02:08:51 GMT 2022","7317","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-Merchant ID]",""
"failed","Wed Aug 10 02:06:35 GMT 2022","Wed Aug 10 02:06:44 GMT 2022","8924","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-First name]",""
"failed","Wed Aug 10 02:07:30 GMT 2022","Wed Aug 10 02:07:39 GMT 2022","9122","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-Email]",""
"passed","Wed Aug 10 02:08:30 GMT 2022","Wed Aug 10 02:08:36 GMT 2022","5841","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_credit_card_number[chrome]",""
"passed","Wed Aug 10 02:07:20 GMT 2022","Wed Aug 10 02:07:30 GMT 2022","9494","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-IP proxy type]",""
"passed","Wed Aug 10 02:05:27 GMT 2022","Wed Aug 10 02:05:29 GMT 2022","2032","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Txn state]",""
"passed","Wed Aug 10 02:05:57 GMT 2022","Wed Aug 10 02:06:00 GMT 2022","2622","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-BIN]",""
"failed","Wed Aug 10 02:06:44 GMT 2022","Wed Aug 10 02:06:53 GMT 2022","8824","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-Last name]",""
"failed","Wed Aug 10 02:06:26 GMT 2022","Wed Aug 10 02:06:35 GMT 2022","8887","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-MCC]",""
"passed","Wed Aug 10 02:08:51 GMT 2022","Wed Aug 10 02:08:59 GMT 2022","8184","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-MCC]",""
"broken","Wed Aug 10 02:08:36 GMT 2022","Wed Aug 10 02:08:43 GMT 2022","7374","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-Txn ID]",""
"passed","Wed Aug 10 02:05:19 GMT 2022","Wed Aug 10 02:05:21 GMT 2022","1604","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Date (local)]",""
"broken","Wed Aug 10 02:09:47 GMT 2022","Wed Aug 10 02:09:54 GMT 2022","7053","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-Email]",""
"passed","Wed Aug 10 02:07:02 GMT 2022","Wed Aug 10 02:07:11 GMT 2022","9090","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-IP]",""
"passed","Wed Aug 10 02:09:15 GMT 2022","Wed Aug 10 02:09:23 GMT 2022","7905","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-CC Last Digits]",""
"passed","Wed Aug 10 02:05:21 GMT 2022","Wed Aug 10 02:05:23 GMT 2022","1882","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Txn ID]",""
"passed","Wed Aug 10 02:06:08 GMT 2022","Wed Aug 10 02:06:11 GMT 2022","2885","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Device Info]",""
"passed","Wed Aug 10 02:05:23 GMT 2022","Wed Aug 10 02:05:24 GMT 2022","1929","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Account]",""
"failed","Wed Aug 10 02:06:53 GMT 2022","Wed Aug 10 02:07:02 GMT 2022","8836","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-CC Last Digits]",""
"passed","Wed Aug 10 02:05:40 GMT 2022","Wed Aug 10 02:05:42 GMT 2022","2306","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Last name]",""
"passed","Wed Aug 10 02:05:54 GMT 2022","Wed Aug 10 02:05:57 GMT 2022","2589","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Email]",""
"passed","Wed Aug 10 02:04:45 GMT 2022","Wed Aug 10 02:04:59 GMT 2022","13917","tests.ui.rules_console","test_smart_rule","TestSmartRule","","","test_smart_rule_creation[chrome]",""
"passed","Wed Aug 10 02:05:33 GMT 2022","Wed Aug 10 02:05:35 GMT 2022","2125","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Merchant ID]",""
"passed","Wed Aug 10 02:08:59 GMT 2022","Wed Aug 10 02:09:07 GMT 2022","7944","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-First name]",""
"passed","Wed Aug 10 02:05:37 GMT 2022","Wed Aug 10 02:05:40 GMT 2022","2228","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-First name]",""
"passed","Wed Aug 10 02:09:31 GMT 2022","Wed Aug 10 02:09:39 GMT 2022","7935","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-IP country]",""
"passed","Wed Aug 10 02:09:55 GMT 2022","Wed Aug 10 02:10:03 GMT 2022","8040","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-BIN]",""
"passed","Wed Aug 10 02:05:29 GMT 2022","Wed Aug 10 02:05:31 GMT 2022","1988","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Issuer resp.]",""
"passed","Wed Aug 10 02:05:31 GMT 2022","Wed Aug 10 02:05:33 GMT 2022","2111","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Txn channel]",""
"passed","Wed Aug 10 02:05:35 GMT 2022","Wed Aug 10 02:05:37 GMT 2022","2201","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-MCC]",""
"passed","Wed Aug 10 02:05:00 GMT 2022","Wed Aug 10 02:05:14 GMT 2022","14361","tests.ui.rules_console","test_transaction","TestTransaction","","","test_send_transaction[chrome]",""
"passed","Wed Aug 10 02:09:39 GMT 2022","Wed Aug 10 02:09:47 GMT 2022","7987","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-IP proxy type]",""
"passed","Wed Aug 10 02:09:23 GMT 2022","Wed Aug 10 02:09:31 GMT 2022","8061","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-IP]",""
"failed","Wed Aug 10 02:06:17 GMT 2022","Wed Aug 10 02:06:26 GMT 2022","8697","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-Merchant ID]",""
"passed","Wed Aug 10 02:05:25 GMT 2022","Wed Aug 10 02:05:26 GMT 2022","1906","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Score]",""
"failed","Wed Aug 10 02:06:11 GMT 2022","Wed Aug 10 02:06:17 GMT 2022","5876","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-Txn ID]",""
"failed","Wed Aug 10 02:07:57 GMT 2022","Wed Aug 10 02:08:06 GMT 2022","9226","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-Device Location Latitude]",""
"failed","Wed Aug 10 02:07:39 GMT 2022","Wed Aug 10 02:07:48 GMT 2022","9033","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-BIN]",""
"passed","Wed Aug 10 02:10:27 GMT 2022","Wed Aug 10 02:10:35 GMT 2022","8015","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-Device Info]",""
"passed","Wed Aug 10 02:10:18 GMT 2022","Wed Aug 10 02:10:27 GMT 2022","8506","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-Device Location Longitude]",""
"passed","Wed Aug 10 02:05:52 GMT 2022","Wed Aug 10 02:05:54 GMT 2022","2527","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-IP proxy type]",""
"passed","Wed Aug 10 02:05:49 GMT 2022","Wed Aug 10 02:05:52 GMT 2022","2458","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-IP country]",""
"failed","Wed Aug 10 02:08:16 GMT 2022","Wed Aug 10 02:08:25 GMT 2022","9206","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-Device Info]",""
"passed","Wed Aug 10 02:09:07 GMT 2022","Wed Aug 10 02:09:15 GMT 2022","7857","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-Last name]",""
"passed","Wed Aug 10 02:04:42 GMT 2022","Wed Aug 10 02:04:43 GMT 2022","747","tests.ui.auth","test_login","TestLogin","","","test_login_successful[chrome]",""
"failed","Wed Aug 10 02:08:06 GMT 2022","Wed Aug 10 02:08:16 GMT 2022","9442","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-Device Location Longitude]",""
"passed","Wed Aug 10 02:06:05 GMT 2022","Wed Aug 10 02:06:08 GMT 2022","2740","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Device Location Latitude]",""
"passed","Wed Aug 10 02:05:47 GMT 2022","Wed Aug 10 02:05:49 GMT 2022","2419","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-IP]",""
