"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 09 08:06:37 GMT 2022","Tue Aug 09 08:06:37 GMT 2022","0","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","test_sr_static_cond[chrome-Browser Header_Contains_block]",""
"broken","Tue Aug 09 08:06:57 GMT 2022","Tue Aug 09 08:06:57 GMT 2022","0","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","test_sr_dynamic_cond[chrome-Payment Card Number_Transaction Count]",""
"broken","Tue Aug 09 08:06:39 GMT 2022","Tue Aug 09 08:06:39 GMT 2022","0","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","test_sr_static_cond[chrome-User IP Address v6_In Range Group_block]",""
"broken","Tue Aug 09 08:07:37 GMT 2022","Tue Aug 09 08:07:37 GMT 2022","0","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-BIN]",""
"broken","Tue Aug 09 08:07:02 GMT 2022","Tue Aug 09 08:07:02 GMT 2022","0","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","test_sr_scoring[chrome-Payment Card Last Name]",""
"broken","Tue Aug 09 08:07:37 GMT 2022","Tue Aug 09 08:07:37 GMT 2022","0","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-IP]",""
"broken","Tue Aug 09 08:07:36 GMT 2022","Tue Aug 09 08:07:36 GMT 2022","0","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-First name]",""
"broken","Tue Aug 09 08:07:20 GMT 2022","Tue Aug 09 08:07:20 GMT 2022","0","tests.end2end.transactions","test_padded_fields","TestPaddedFields","","","Transaction API Padded Fields",""
"broken","Tue Aug 09 08:06:37 GMT 2022","Tue Aug 09 08:06:37 GMT 2022","0","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","test_sr_static_cond[chrome-Browser Header_Matches_block]",""
"broken","Tue Aug 09 08:06:54 GMT 2022","Tue Aug 09 08:06:54 GMT 2022","0","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","test_sr_dynamic_cond[chrome-Merchant ID_Billing Amount (based on Billing Currency)]",""
"broken","Tue Aug 09 08:06:52 GMT 2022","Tue Aug 09 08:06:52 GMT 2022","0","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","test_sr_static_cond[chrome-Shipping Address_Contains_block]",""
"broken","Tue Aug 09 08:07:40 GMT 2022","Tue Aug 09 08:07:40 GMT 2022","0","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-IP country]",""
"broken","Tue Aug 09 08:07:05 GMT 2022","Tue Aug 09 08:07:05 GMT 2022","0","tests.end2end.rules_console","test_viplist_flow","TestVIPlistFlow","","","test_viplist_create_edit[chrome-IP Address]",""
