"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 21 06:50:34 GMT 2022","Thu Jul 21 06:50:43 GMT 2022","9041","tests.end2end.transactions.test_send_for_auth","test_s4a_blocked_txn","TestSendForAuthBlocked","","","Send for Auth - Blocked Transaction","
        Transactions that are declined (blocked) via smart rules
        Expectation SendForAuth should be 0
        "
"broken","Thu Jul 21 06:49:37 GMT 2022","Thu Jul 21 06:49:37 GMT 2022","21","tests.end2end.transactions","test_issuer_response","TestIssuerReponse","","","Issuer Response Channels",""
"broken","Thu Jul 21 06:49:40 GMT 2022","Thu Jul 21 06:49:40 GMT 2022","24","tests.end2end.transactions","test_issuer_response","TestIssuerReponse","","","Issuer Reponse Approval Status",""
"broken","Thu Jul 21 06:53:26 GMT 2022","Thu Jul 21 06:53:37 GMT 2022","10433","tests.end2end.transactions.test_send_for_review","test_s4r_blocked_txn","TestSendForReviewBlocked","","","Send for Review - Blocked Transaction (Include Blocked)","
        Transactions that are declined (blocked) via smart rules
        Account Settings - Include blocked IS selected
        Expectation SendForReview should be 1
        "
"broken","Thu Jul 21 06:49:37 GMT 2022","Thu Jul 21 06:49:37 GMT 2022","27","tests.end2end.transactions","test_issuer_response","TestIssuerReponse","","","Issuer Response Channels",""
"skipped","Thu Jul 21 06:49:56 GMT 2022","Thu Jul 21 06:49:56 GMT 2022","0","tests.end2end.transactions","test_required_fields","TestTxnAPIRequiredFields","","","Test Transaction API Required Fields",""
"broken","Thu Jul 21 06:53:11 GMT 2022","Thu Jul 21 06:53:22 GMT 2022","10652","tests.end2end.transactions.test_send_for_review","test_s4r_blocked_txn","TestSendForReviewBlocked","","","Send for Review - Blocked Transaction (Default, not including blocked)","
        Transactions that are declined (blocked) via smart rules
        Account Settings - Include blocked not selected
        Expectation SendForReview should be 0
        "
"skipped","Thu Jul 21 06:49:57 GMT 2022","Thu Jul 21 06:49:57 GMT 2022","0","tests.end2end.transactions","test_required_fields","TestTxnAPIRequiredFields","","","Test Transaction API Required Fields Error Message",""
"skipped","Thu Jul 21 06:49:58 GMT 2022","Thu Jul 21 06:49:58 GMT 2022","0","tests.end2end.transactions","test_required_fields","TestTxnAPIRequiredFields","","","Test Transaction API Required Fields Error Message",""
"broken","Thu Jul 21 06:53:54 GMT 2022","Thu Jul 21 06:54:04 GMT 2022","10460","tests.end2end.transactions.test_send_for_review","test_s4r_scored_txn","TestSendForReviewScored","","","Send for Review - Low Risk Transaction","
        Transactions that are scored BELOW risk threshold
        Expectation SendForReview should be 0
        "
"broken","Thu Jul 21 06:54:43 GMT 2022","Thu Jul 21 06:54:52 GMT 2022","9145","tests.end2end.transactions.test_send_for_review","test_s4r_viplist_txn","TestSendForReviewVIPlist","","","Send for Review - VIPlisted (include viplisted)","
        Test transactions that are VIPListed
        Account settings 'include VIPlisted transactions' selected
        Expected sendforreview should be 1
        "
"broken","Thu Jul 21 06:49:50 GMT 2022","Thu Jul 21 06:49:50 GMT 2022","29","tests.end2end.transactions","test_padded_fields","TestPaddedFields","","","Transaction API Padded Fields",""
"broken","Thu Jul 21 06:49:33 GMT 2022","Thu Jul 21 06:49:33 GMT 2022","15","tests.end2end.transactions","test_issuer_response","TestIssuerReponse","","","Issuer Response Channels",""
