"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 21 10:33:00 GMT 2022","Thu Jul 21 10:33:15 GMT 2022","15180","tests.end2end.rules_console","test_groups_flow","TestGroupFlow","","","Group Creation: Generic Text",""
"passed","Thu Jul 21 11:07:59 GMT 2022","Thu Jul 21 11:08:22 GMT 2022","23036","tests.end2end.rules_console.dynamic_rule_behaviour","test_txn_count_rule_sum_valid","TestTxnCountRuleSumValid","","","Dynamic Rule Sum Transaction Count - Passthrough",""
"passed","Thu Jul 21 11:06:58 GMT 2022","Thu Jul 21 11:07:20 GMT 2022","22933","tests.end2end.rules_console.dynamic_rule_behaviour","test_txn_count_rule_sum_valid","TestTxnCountRuleSumValid","","","Dynamic Rule Sum Transaction Count - Passthrough",""
"failed","Thu Jul 21 11:04:20 GMT 2022","Thu Jul 21 11:04:40 GMT 2022","20575","tests.end2end.rules_console.dynamic_rule_behaviour","test_txn_count_rule_sum_blocked","TestTxnCountRuleSumBlocked","","","Dynamic Rule Sum Transaction Count - Blocked by Watchlist",""
"passed","Thu Jul 21 10:50:59 GMT 2022","Thu Jul 21 10:51:23 GMT 2022","23646","tests.end2end.rules_console.dynamic_rule_behaviour","test_billing_curr_rule_sum_blocked","TestBillingCurrRuleSumBlocked","","","Dynamic Rule Sum Billing Currency - Blocked by Watchlist",""
"passed","Thu Jul 21 10:34:28 GMT 2022","Thu Jul 21 10:34:43 GMT 2022","15277","tests.end2end.rules_console","test_groups_flow","TestGroupFlow","","","Group Creation: Person Name",""
"passed","Thu Jul 21 10:40:38 GMT 2022","Thu Jul 21 10:40:54 GMT 2022","16155","tests.end2end.rules_console","test_groups_flow","TestGroupFlow","","","Group Creation: Date (DDMMYYYY)",""
"passed","Thu Jul 21 10:48:11 GMT 2022","Thu Jul 21 10:48:37 GMT 2022","26046","tests.end2end.rules_console.dynamic_rule_behaviour","test_billing_curr_rule_sum_blocked","TestBillingCurrRuleSumBlocked","","","Dynamic Rule Sum Billing Currency - Blocked by another rule",""
"passed","Thu Jul 21 10:40:16 GMT 2022","Thu Jul 21 10:40:31 GMT 2022","15667","tests.end2end.rules_console","test_groups_flow","TestGroupFlow","","","Group Creation: Date",""
"passed","Thu Jul 21 11:00:28 GMT 2022","Thu Jul 21 11:00:54 GMT 2022","25543","tests.end2end.rules_console.dynamic_rule_behaviour","test_txn_count_rule_sum_blocked","TestTxnCountRuleSumBlocked","","","Dynamic Rule Sum Transaction Count - Blocked by another rule",""
