"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 09 12:34:46 GMT 2022","Tue Aug 09 12:34:48 GMT 2022","2667","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-BIN]",""
"broken","Tue Aug 09 12:36:46 GMT 2022","Tue Aug 09 12:36:49 GMT 2022","2597","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_credit_card_number[chrome]",""
"passed","Tue Aug 09 12:34:11 GMT 2022","Tue Aug 09 12:34:13 GMT 2022","1925","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Account]",""
"broken","Tue Aug 09 12:37:36 GMT 2022","Tue Aug 09 12:37:41 GMT 2022","5584","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-IP proxy type]",""
"broken","Tue Aug 09 12:37:07 GMT 2022","Tue Aug 09 12:37:12 GMT 2022","5481","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-First name]",""
"broken","Tue Aug 09 12:37:18 GMT 2022","Tue Aug 09 12:37:24 GMT 2022","5677","tests.ui.transaction_logs","test_search_by","TestTxnUISearchBy","","","test_search_by_text[chrome-CC Last Digits]",""
"broken","Tue Aug 09 12:36:05 GMT 2022","Tue Aug 09 12:36:12 GMT 2022","6705","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_incolumn_filters[chrome-BIN]",""
"passed","Tue Aug 09 12:34:17 GMT 2022","Tue Aug 09 12:34:19 GMT 2022","2023","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Issuer resp.]",""
"passed","Tue Aug 09 12:34:54 GMT 2022","Tue Aug 09 12:34:57 GMT 2022","2805","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Device Location Latitude]",""
"passed","Tue Aug 09 12:34:24 GMT 2022","Tue Aug 09 12:34:26 GMT 2022","2177","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-MCC]",""
"passed","Tue Aug 09 12:34:26 GMT 2022","Tue Aug 09 12:34:28 GMT 2022","2274","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-First name]",""
"passed","Tue Aug 09 12:34:08 GMT 2022","Tue Aug 09 12:34:09 GMT 2022","1626","tests.ui.transaction_logs","test_columns","TestTxnUIColumns","","","test_toggle_columns[chrome-Date (local)]",""
"passed","Tue Aug 09 12:33:40 GMT 2022","Tue Aug 09 12:33:41 GMT 2022","903","tests.ui.auth","test_login","TestLogin","","","test_login_failed[chrome]",""
