"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 22 09:34:30 GMT 2022","Fri Jul 22 09:34:46 GMT 2022","15215","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","Smart Rules Dynamic Field: Transaction Date-Billing Amount (based on Billing Currency)",""
"passed","Fri Jul 22 09:00:56 GMT 2022","Fri Jul 22 09:01:07 GMT 2022","11117","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","Smart Rule Static Field: Transaction Date-Before-block",""
"passed","Fri Jul 22 09:07:12 GMT 2022","Fri Jul 22 09:07:23 GMT 2022","10695","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","Smart Rules Dynamic Field: User IPv4 Address' Country-Billing Amount (based on preferred currency)",""
"passed","Fri Jul 22 08:23:21 GMT 2022","Fri Jul 22 08:23:31 GMT 2022","9731","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","Smart Rule Static Field: Payment Card Category-Matches-notify",""
"passed","Fri Jul 22 10:20:57 GMT 2022","Fri Jul 22 10:21:04 GMT 2022","7698","tests.end2end.transactions.test_send_for_auth","test_s4a_viplist_txn","TestSendForAuthVIPlist","","","Send for Auth - VIPlisted transaction","
        Transactions that are viplisted ONLY
        Expectation SendForAuth should be 1
        "
"passed","Fri Jul 22 10:07:42 GMT 2022","Fri Jul 22 10:07:57 GMT 2022","14711","tests.end2end.rules_console.dynamic_rule_behaviour","test_txn_count_rule_sum_valid","TestTxnCountRuleSumValid","","","Dynamic Rule Sum Transaction Count - Low Risk",""
"passed","Fri Jul 22 08:49:01 GMT 2022","Fri Jul 22 08:49:10 GMT 2022","9874","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","Smart Rule Static Field: Shipping Country-Does not match-block",""
"passed","Fri Jul 22 08:28:08 GMT 2022","Fri Jul 22 08:28:19 GMT 2022","10884","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","Smart Rule Static Field: Billing Last Name-Matches-allow",""
"passed","Fri Jul 22 10:20:10 GMT 2022","Fri Jul 22 10:20:11 GMT 2022","1748","tests.end2end.transactions.test_send_for_auth","test_s4a_error_txn","TestSendForAuthErrored","","","Send for Auth - Error (No)","
        Transactions that are errored (code 500)
        Expectation SendForAuth should match settings configured in account settings
        Setting Send for Authorisation set to (No)
        Expectation sendforauth = 0
        "
"failed","Fri Jul 22 10:19:09 GMT 2022","Fri Jul 22 10:19:09 GMT 2022","32","tests.end2end.transactions","test_required_fields","TestTxnAPIRequiredFields","","","Test Transaction API Required Fields Error Message",""
"passed","Fri Jul 22 08:29:09 GMT 2022","Fri Jul 22 08:29:19 GMT 2022","9974","tests.end2end.rules_console","test_smart_rule_flow","TestSmartRuleFlow","","","Smart Rule Static Field: Billing Last Name-In Group-block",""
