"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jul 21 07:56:24 GMT 2022","Thu Jul 21 07:56:24 GMT 2022","0","tests.end2end.transactions","test_required_fields","TestTxnAPIRequiredFields","","","Test Transaction API Required Fields Error Message",""
"passed","Thu Jul 21 07:52:05 GMT 2022","Thu Jul 21 07:52:30 GMT 2022","25437","tests.end2end.transactions","test_padded_fields","TestPaddedFields","","","Transaction API Padded Fields",""
"passed","Thu Jul 21 07:56:21 GMT 2022","Thu Jul 21 07:56:21 GMT 2022","648","tests.end2end.transactions","test_required_fields","TestTxnAPIRequiredFields","","","Test Transaction API Required Fields",""
"skipped","Thu Jul 21 07:56:24 GMT 2022","Thu Jul 21 07:56:24 GMT 2022","0","tests.end2end.transactions","test_required_fields","TestTxnAPIRequiredFields","","","Test Transaction API Required Fields Error Message",""
"passed","Thu Jul 21 07:34:14 GMT 2022","Thu Jul 21 07:35:07 GMT 2022","52123","tests.end2end.transactions","test_issuer_response","TestIssuerReponse","","","Issuer Response Channels",""
"passed","Thu Jul 21 07:56:23 GMT 2022","Thu Jul 21 07:56:23 GMT 2022","652","tests.end2end.transactions","test_required_fields","TestTxnAPIRequiredFields","","","Test Transaction API Required Fields",""
"passed","Thu Jul 21 07:56:21 GMT 2022","Thu Jul 21 07:56:22 GMT 2022","647","tests.end2end.transactions","test_required_fields","TestTxnAPIRequiredFields","","","Test Transaction API Required Fields",""
"passed","Thu Jul 21 07:56:24 GMT 2022","Thu Jul 21 07:56:24 GMT 2022","35","tests.end2end.transactions","test_required_fields","TestTxnAPIRequiredFields","","","Test Transaction API Required Fields Error Message",""
"passed","Thu Jul 21 08:00:17 GMT 2022","Thu Jul 21 08:00:18 GMT 2022","895","tests.end2end.transactions.test_send_for_review","test_s4r_error_txn","TestSendForReviewErrored","","","Send for Review - Error (Yes)","
        Transactions that are errored (code 500)
        Expectation SendForReview should match settings configured in account settings
        Setting Send for Review set to (Yes)
        Expectation sendforreview = 1
        "
"passed","Thu Jul 21 07:53:46 GMT 2022","Thu Jul 21 07:54:12 GMT 2022","25343","tests.end2end.transactions","test_padded_fields","TestPaddedFields","","","Transaction API Padded Fields",""
"passed","Thu Jul 21 07:38:36 GMT 2022","Thu Jul 21 07:39:27 GMT 2022","51593","tests.end2end.transactions","test_issuer_response","TestIssuerReponse","","","Issuer Response Channels",""
"skipped","Thu Jul 21 07:56:22 GMT 2022","Thu Jul 21 07:56:22 GMT 2022","0","tests.end2end.transactions","test_required_fields","TestTxnAPIRequiredFields","","","Test Transaction API Required Fields",""
